카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
삼성,taptap DRIVE,30,1,1,,,1,1,1,,,1,,,,,,,,1,,,,1,,,,,
삼성,카카오뱅크 개인사업자 삼성카드,50,1.5,1.5,1,,,,,,,1,,,,,,,,1,,,,1,,,,1,1
삼성,삼성카드 taptap I,50,4.9,4.9,,1,,,1,1,,1,,,,,,,1,,,1,1,,,,,,1
삼성,삼성페이카드,0,1.5,1.5,1,,,,,,,,,,,,,,,,,,,1,,,,,
삼성,삼성 BIZ iD BENEFIT카드,30,3,3,1,,1,,,,,,,1,,,,,,,,,,,,,,,1
삼성,SSG.COM 삼성카드,0,1.5,1.5,,,1,1,1,,,1,,,,,,,,1,,1,,1,1,,,,
삼성,THE iD. TITANIUM(포인트),50,69.5,70,,,1,,1,,,,,,,,,1,1,,1,1,1,1,,,,,
삼성,카카오페이 신용카드,0,1,1,,,,,,,,,,1,,,,,,1,,,,1,1,,,,
삼성,삼성카앤모아카드,30,0.8,1,,,1,,,,,1,,,,,1,,1,,,,,,,,,,
삼성,삼성카드 BIZ LEADERS,0,2,2,1,,1,1,1,,,,,1,1,,1,,,,,,,,,,,,
삼성,삼성페이 삼성카드 taptap,30,1,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,
삼성,MY S-OIL 삼성카드,30,2,2,,,1,,,,,1,,,,,1,,,,,,,,,,,,
삼성,RAUME O (스카이패스),0,,200,,,,,,,,,,,,,,1,,,1,1,1,,,,,,
삼성,글로벌쇼핑 삼성카드 5v2,0,,1.8,,,,1,1,,,1,,,1,,,1,1,,,,,1,,,,,
삼성,스카이패스 삼성아멕스카드,0,,2,,,1,,,,,,,,,,1,1,,,1,1,,,,,,,
삼성,iD MOVE카드,40,2,2,,1,,,,,,1,,1,,,,,,,,,1,1,1,,,,
삼성,삼성 iD AUTO 카드,0,4.9,4.9,1,,1,1,1,,1,1,,,,,1,,1,,,,,,,,,,
삼성,네이버웹툰 삼성 iD 카드,0,1,1,,,,,1,,,,,,,,,,,1,,,,1,1,,,,
삼성,삼성스토어 BENEFIT 삼성카드,30,2,2,,,1,,1,,,,,1,,,,,,,,,,,,,,,
삼성,삼성 모바일플러스카드,0,1.5,1.5,,,1,1,,,1,,,1,,,,,,1,,,,,1,,,,
삼성,T나는혜택 삼성카드,30,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1
삼성,삼성 iD NOMAD 카드,50,4.7,4.9,,,,1,1,1,,,,,,,,1,1,,,1,1,1,1,,,,
삼성,S-OIL 삼성카드 & POINT,0,1,1.2,,,1,1,,,,1,,1,,,,,1,,,,,1,,,,,
삼성,삼성 iD POCKET 카드,0,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,
삼성,RAUME O,0,,200,,,,,,,,,,,,,,1,,,,1,1,,,,,,
삼성,Toss taptap S,50,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,
삼성,TRADERS CLUB 삼성카드,0,1.5,1.5,,1,,1,1,,,1,,,,,,,1,,,,,,,,,,
삼성,신세계 아울렛 BENEFIT 삼성카드,40,2,2,,,,1,1,,1,1,,,,,,,,1,,,,1,,,,,
삼성,홈플러스 삼성카드,0,1.5,1.5,,,1,1,,,,,,,1,,,,,,,,,,,,,,
삼성,CJ 삼성 iD 카드,30,1,1,,,,1,1,1,1,1,1,1,,,,,1,,,,,,1,,,,
삼성,롯데월드카드,30,1,1,1,,1,,1,,1,,,1,,,,1,1,,,,,1,1,,,,
삼성,신세계 THE S VIP,50,4.7,4.9,1,,,1,1,1,,1,,1,1,,1,1,1,,,1,,,,,1,,
삼성,신세계 더 마일리지 삼성카드 (스카이패스),50,4.5,4.5,1,,,,1,,,,,,,,,,,,,1,,,,,,,
삼성,LG U+ 삼성카드,30,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1
삼성,삼성 iD PET 카드,40,1.5,1.5,,,,,,,,1,,,1,1,1,,,1,,,,1,1,,,,
삼성,PAYCO taptap,40,0.99,0.99,,,,1,,,1,1,,,,,,,,1,,,,,1,,,,
삼성,아시아나 삼성지엔미플래티늄카드,30,,2,,,1,,,1,,1,,,,,1,1,1,,1,,,,,,,,1
삼성,CU·배달의민족 삼성카드 taptap,30,1,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,
삼성,KT 삼성카드,30,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1
삼성,부릉 삼성카드 BIZ,0,1,1,,,1,1,1,1,,1,,1,1,,,,1,,,,,1,,,1,,
삼성,RAUME O (아시아나),0,,200,,,,,,,,,,,,,,1,,,1,1,1,,,,,,
삼성,다이소 삼성카드,0,0.8,0.8,,,,1,1,,1,1,,,1,,,,,,,,,,,1,,,
삼성,라이프파트너 삼성카드,30,2,2,,,1,1,,,,,,,1,,,,1,,,,,,,,,,
삼성,우리동네GS 삼성카드,0,1.5,1.5,,,,1,,,1,1,,,,,,,,,,,,1,1,1,,,
삼성,엠베스트 엘리하이 삼성카드,30,1.5,1.5,,,,,,,,,,1,,,,,,,,,,,,,1,,
삼성,SC제일은행 아시아나 삼성지엔미카드,0,2,2,,,1,,,,,,,,,,1,1,,,1,,,,,,,1,
삼성,taptap SHOPPING,30,1,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,
삼성,요기요 삼성카드,0,1,1,,,,1,1,,1,1,,,,,,,,,,,,,1,,,,
삼성,NS홈쇼핑 삼성카드,40,1,1,,,1,1,1,,,1,,1,,,,,,,,,,,,,,,
삼성,삼성스토어 삼성카드,50,2,2,,1,,,1,,,1,,,,,,,,,,,,,,,,,1
현대,현대카드ZERO Edition2(할인형),0,1,1,,1,,1,,1,,1,,,,,,,,1,,1,,,,,,,1
현대,현대카드 M BOOST,50,3,3,,1,,1,1,1,,1,1,1,,,1,,1,1,,1,,1,,,1,,1
현대,현대카드Z family,40,1,1,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,1
현대,현대카드ZERO Edition2(포인트형),0,1,1,,1,1,1,,1,,1,,,,,,,,1,,1,,,,,,,1
현대,American Express® Gold Card,0,0,30,1,1,,,,,,,,,,,,,,,1,1,1,,,,,,
현대,the Green Edition2,50,15,15,,,,,,,,,,,,,,,,,,1,,,,,,,
